"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"d:\FIXXUP\Angular-FIXXP-\src\app\stamp-paper\stamp-paper.component.html", "HTML", 0, 380, 0, 0, 16, 396
"d:\FIXXUP\Angular-FIXXP-\src\app\stamp-paper\stamp-paper.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\stamp-paper\stamp-paper.component.ts", "TypeScript", 133, 0, 0, 0, 13, 146
"d:\FIXXUP\Angular-FIXXP-\src\app\statestatus\statestatus.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\FIXXUP\Angular-FIXXP-\src\app\statestatus\statestatus.component.html", "HTML", 0, 24, 0, 0, 9, 33
"d:\FIXXUP\Angular-FIXXP-\src\app\statestatus\statestatus.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\statestatus\statestatus.component.ts", "TypeScript", 35, 0, 0, 0, 11, 46
"d:\FIXXUP\Angular-FIXXP-\src\app\tickets\tickets.component.css", "CSS", 0, 0, 190, 866, 18, 1074
"d:\FIXXUP\Angular-FIXXP-\src\app\tickets\tickets.component.html", "HTML", 0, 502, 0, 17, 39, 558
"d:\FIXXUP\Angular-FIXXP-\src\app\tickets\tickets.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\tickets\tickets.component.ts", "TypeScript", 133, 0, 0, 0, 14, 147
"d:\FIXXUP\Angular-FIXXP-\src\app\transactionhistory\transactionhistory.component.css", "CSS", 0, 0, 188, 1, 19, 208
"d:\FIXXUP\Angular-FIXXP-\src\app\transactionhistory\transactionhistory.component.html", "HTML", 0, 620, 0, 31, 20, 671
"d:\FIXXUP\Angular-FIXXP-\src\app\transactionhistory\transactionhistory.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\transactionhistory\transactionhistory.component.ts", "TypeScript", 158, 0, 0, 0, 19, 177
"d:\FIXXUP\Angular-FIXXP-\src\app\update-promotion\update-promotion.component.css", "CSS", 0, 0, 555, 397, 133, 1085
"d:\FIXXUP\Angular-FIXXP-\src\app\update-promotion\update-promotion.component.html", "HTML", 0, 189, 0, 85, 47, 321
"d:\FIXXUP\Angular-FIXXP-\src\app\update-promotion\update-promotion.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\update-promotion\update-promotion.component.ts", "TypeScript", 176, 0, 0, 0, 26, 202
"d:\FIXXUP\Angular-FIXXP-\src\app\user-kyc\user-kyc.component.css", "CSS", 0, 0, 194, 7, 44, 245
"d:\FIXXUP\Angular-FIXXP-\src\app\user-kyc\user-kyc.component.html", "HTML", 0, 58, 0, 0, 3, 61
"d:\FIXXUP\Angular-FIXXP-\src\app\user-kyc\user-kyc.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\user-kyc\user-kyc.component.ts", "TypeScript", 28, 0, 0, 0, 5, 33
"d:\FIXXUP\Angular-FIXXP-\src\app\userkyc\userkyc.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\FIXXUP\Angular-FIXXP-\src\app\userkyc\userkyc.component.html", "HTML", 0, 1, 0, 0, 1, 2
"d:\FIXXUP\Angular-FIXXP-\src\app\userkyc\userkyc.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\userkyc\userkyc.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"d:\FIXXUP\Angular-FIXXP-\src\app\usermanagement\usermanagement.component.css", "CSS", 0, 0, 171, 867, 15, 1053
"d:\FIXXUP\Angular-FIXXP-\src\app\usermanagement\usermanagement.component.html", "HTML", 0, 514, 0, 25, 31, 570
